,lcID,lcEta,lcPhi,lcX,lcY,lcZ,lcLayer,lcEnergy,lcToTrack1,lcToTrack2,lcToTrack3,isSeed
265,265.0,1.940306305885315,2.3046534061431885,-67.3730697631836,74.70228576660156,342.8927917480469,15.0,0.047320105135440826,1.0,-1.0,-1.0,0.0
266,266.0,1.8472646474838257,2.267759084701538,-71.17474365234375,85.0244140625,342.8927917480469,15.0,0.051364555954933167,1.0,-1.0,-1.0,0.0
267,267.0,1.8945538997650146,2.2755942344665527,-68.36332702636719,80.3779525756836,342.8927917480469,15.0,0.07603572309017181,1.0,-1.0,-1.0,0.0
268,268.0,1.8869458436965942,2.2311551570892334,-65.24256134033203,84.0018310546875,342.8927917480469,15.0,0.05096011236310005,1.0,-1.0,-1.0,0.0
269,269.0,1.9143496751785278,2.2410285472869873,-64.20230865478516,80.9988784790039,342.8927917480469,15.0,0.018200039863586426,1.0,-1.0,-1.0,0.0
270,270.0,1.9316188097000122,-0.8126018047332764,69.80032348632812,-73.70516204833984,342.8927917480469,15.0,0.0756312757730484,0.0,-1.0,-1.0,0.0
271,271.0,1.807829737663269,-0.8522093892097473,76.09185791015625,-87.00479125976562,342.8927917480469,15.0,0.04691566154360771,0.0,-1.0,-1.0,0.0
272,272.0,1.7623322010040283,-0.8232498168945312,82.45408630371094,-88.9449234008789,342.8927917480469,15.0,0.11405358463525772,0.0,-1.0,-1.0,0.0
273,273.0,1.7384666204452515,-0.8019556403160095,86.49440002441406,-89.40715026855469,342.8927917480469,15.0,0.025075610727071762,0.0,-1.0,-1.0,0.0
274,274.0,1.707949161529541,2.4596688747406006,-99.7709732055664,80.9988784790039,342.8927307128906,15.0,0.021280106157064438,1.0,-1.0,-1.0,0.0
275,275.0,1.7120411396026611,-0.7350156903266907,94.91645050048828,-85.8036117553711,342.8927307128906,15.0,0.03528726473450661,0.0,-1.0,-1.0,0.0
276,276.0,1.6743332147598267,-0.7665722966194153,95.95669555664062,-92.41011047363281,342.8927307128906,15.0,0.022357583045959473,0.0,-1.0,-1.0,0.0
277,277.0,1.680932641029358,-0.7360352277755737,98.0372085571289,-88.80655670166016,342.8927307128906,15.0,0.00808105431497097,0.0,-1.0,-1.0,0.0
278,278.0,1.667069673538208,-0.7407795786857605,99.07746887207031,-90.60833740234375,342.8927307128906,15.0,0.02612873911857605,0.0,-1.0,-1.0,0.0
279,279.0,1.6538504362106323,-0.7220590114593506,102.19822692871094,-90.00775146484375,342.8927307128906,15.0,0.038519687950611115,0.0,-1.0,-1.0,0.0
280,280.0,1.7213078737258911,-0.9372599124908447,75.00160217285156,-102.1061782836914,342.8927307128906,15.0,0.04309895262122154,0.0,-1.0,-1.0,0.0
281,281.0,1.6902788877487183,-0.9316292405128479,78.12236022949219,-105.109130859375,342.8927307128906,15.0,0.017778316512703896,0.0,-1.0,-1.0,0.0
282,282.0,1.7029504776000977,-0.9113007187843323,79.1626205444336,-102.1061782836914,342.8927307128906,15.0,0.030977370217442513,0.0,-1.0,-1.0,0.0
283,283.0,1.7031683921813965,-0.8634488582611084,83.93655395507812,-98.17980194091797,342.8927307128906,15.0,0.07596190273761749,0.0,-1.0,-1.0,0.0
284,284.0,1.6636853218078613,-0.8530412316322327,88.62492370605469,-101.50558471679688,342.8927307128906,15.0,0.03340168669819832,0.0,-1.0,-1.0,0.0
285,285.0,1.6497013568878174,-0.8559756278991699,89.66517639160156,-103.3073501586914,342.8927307128906,15.0,0.016431476920843124,0.0,-1.0,-1.0,0.0
286,286.0,1.668247103691101,-0.838359534740448,89.66517639160156,-99.70380401611328,342.8927307128906,15.0,0.025051264092326164,0.0,-1.0,-1.0,0.0
287,287.0,1.7028549909591675,-0.8052743077278137,89.53289031982422,-93.1646957397461,342.8927307128906,15.0,11.86898136138916,0.0,-1.0,-1.0,0.0
288,288.0,1.6525191068649292,-0.8329059481620789,91.74568176269531,-100.90498352050781,342.8927307128906,15.0,0.014815264381468296,0.0,-1.0,-1.0,0.0
289,289.0,1.6090925931930542,-0.8642755746841431,92.78594207763672,-108.71267700195312,342.8927307128906,15.0,0.051180001348257065,0.0,-1.0,-1.0,0.0
290,290.0,1.6370617151260376,-0.8276324272155762,93.8261947631836,-102.1061782836914,342.8927307128906,15.0,0.06491779536008835,0.0,-1.0,-1.0,0.0
291,291.0,1.6470085382461548,-0.8072371482849121,94.86643981933594,-99.10321807861328,342.8927307128906,15.0,0.05360431969165802,0.0,-1.0,-1.0,0.0
292,292.0,1.664658546447754,-0.7887245416641235,94.86643981933594,-95.49967193603516,342.8927307128906,15.0,0.0320548452436924,0.0,-1.0,-1.0,0.0
293,293.0,1.6258056163787842,-0.808364987373352,96.94696044921875,-101.50558471679688,342.8927307128906,15.0,0.06222410872578621,0.0,-1.0,-1.0,0.0
294,294.0,1.6013875007629395,-0.9715152978897095,81.29313659667969,-119.00936126708984,342.8927307128906,15.0,0.011313474737107754,0.0,-1.0,-1.0,0.0
295,295.0,1.5524882078170776,-0.8148123025894165,104.27874755859375,-110.60107421875,342.8927307128906,15.0,0.01804768480360508,0.0,-1.0,-1.0,0.0
296,296.0,1.9730746746063232,2.274916410446167,-63.11204528808594,74.30577087402344,343.8372497558594,16.0,0.10677357017993927,1.0,-1.0,-1.0,0.0
297,297.0,1.8668384552001953,2.3524725437164307,-76.73536682128906,77.30873107910156,343.8372497558594,16.0,0.05743124336004257,1.0,-1.0,-1.0,0.0
298,298.0,1.8856678009033203,2.317267417907715,-72.52137756347656,78.39923858642578,343.8372497558594,16.0,4.630898475646973,1.0,-1.0,-1.0,0.0
299,299.0,1.9329406023025513,2.343602418899536,-70.96708679199219,72.77723693847656,343.8372497558594,16.0,0.0436800979077816,1.0,-1.0,-1.0,0.0
300,300.0,1.8394107818603516,2.2783234119415283,-72.86670684814453,85.20052337646484,343.8372497558594,16.0,0.053386785089969635,1.0,-1.0,-1.0,0.0
301,301.0,1.9108688831329346,2.2792084217071533,-67.67816925048828,78.99208068847656,343.8372497558594,16.0,0.09100019931793213,1.0,-1.0,-1.0,0.0
302,302.0,1.7580947875976562,2.283757209777832,-79.9061279296875,92.41011047363281,343.8372497558594,16.0,0.04853343963623047,1.0,-1.0,-1.0,0.0
303,303.0,1.8098129034042358,2.3211162090301514,-78.86587524414062,84.60242462158203,343.8372497558594,16.0,0.024266719818115234,1.0,-1.0,-1.0,0.0
304,304.0,1.8160336017608643,2.2905526161193848,-75.74510955810547,86.40419006347656,343.8372497558594,16.0,0.017795594409108162,1.0,-1.0,-1.0,0.0
305,305.0,1.7660213708877563,-0.7115803360939026,91.74568176269531,-79.11048889160156,343.8372497558594,16.0,0.05500457063317299,0.0,-1.0,-1.0,0.0
306,306.0,1.8231775760650635,-0.8280059099197388,77.13211822509766,-84.0018310546875,343.8372497558594,16.0,0.0436800941824913,0.0,-1.0,-1.0,0.0
307,307.0,1.739777684211731,-0.8487035632133484,82.3333969116211,-93.47811126708984,343.8372497558594,16.0,0.12966910004615784,0.0,-1.0,-1.0,0.0
308,308.0,1.7594209909439087,-0.7947332262992859,85.45415496826172,-87.0646743774414,343.8372497558594,16.0,0.03397341072559357,0.0,-1.0,-1.0,0.0
309,309.0,1.7452625036239624,-0.7858019471168518,87.53466033935547,-87.60537719726562,343.8372497558594,16.0,0.02386227436363697,0.0,-1.0,-1.0,0.0
310,310.0,1.768385410308838,-0.7480863928794861,88.57492065429688,-82.2000503540039,343.8372497558594,16.0,0.01981782168149948,0.0,-1.0,-1.0,0.0
311,311.0,1.7466936111450195,-0.7601650357246399,89.61516571044922,-85.20301818847656,343.8372497558594,16.0,0.04327565059065819,0.0,-1.0,-1.0,0.0
312,312.0,1.720778226852417,-0.7557370066642761,92.50850677490234,-87.17725372314453,343.8372497558594,16.0,0.07125934213399887,0.0,-1.0,-1.0,0.0
313,313.0,1.6791943311691284,-0.7752575874328613,94.91645050048828,-93.01069641113281,343.8372497558594,16.0,0.01939452812075615,0.0,-1.0,-1.0,0.0
314,314.0,1.6827305555343628,-0.7600369453430176,95.95669555664062,-91.20893096923828,343.8372497558594,16.0,0.0404052659869194,0.0,-1.0,-1.0,0.0
